date,close,volume,open,high,low
5/27/14,79.69,4760558,79.38,80,79.3
5/23/14,79.18,5003115,78.77,79.4,78.51
5/22/14,78.78,5265269,77.76,79.05,77.76
5/21/14,78.08,6693930,78.25,78.51,77.75
5/20/14,77.96,15431800,77.92,78.82,77.4
5/19/14,76.5,7733780,76.58,77.07,76.37
5/16/14,77.36,7037154,76.79,77.37,76.6576
5/15/14,76.24,6304743,76.05,76.29,75.32
5/14/14,76.31,6869972,77.33,77.37,76.17
5/13/14,77.27,5455195,78.36,78.675,77.04
5/12/14,78.27,4324168,77.82,78.44,77.7506
5/9/14,77.71,4345185,77.06,77.75,76.81
5/8/14,77.05,5484906,76.94,77.73,76.66
5/7/14,77.08,5378509,77.85,77.96,76.52
5/6/14,77.42,6470591,78.64,78.755,77.35
5/5/14,78.69,3520928,79.04,79.18,78.56
5/2/14,79.4,3738436,79.32,80.16,79.155
5/1/14,79.33,3936711,79.51,79.65,78.95
4/30/14,79.51,8524111,79.74,79.74,78.73
4/29/14,79.52,5146542,80.32,80.32,79.52
4/28/14,80.17,14562450,79.53,81.15,79.33
4/25/14,79.38,6381363,79.41,79.7,79.03
4/24/14,79.77,7271561,78.97,79.81,78.72
4/23/14,78.52,7496778,79.87,80.05,78.4401
4/22/14,79.67,11188380,78.74,80.23,78.63
4/21/14,77.96,6252090,78.35,78.35,77.67
4/17/14,77.09,6874985,76.26,77.68,75.91
4/16/14,76.58,6104612,76.42,76.58,75.8
4/15/14,75.89,7022929,76.29,76.4,74.61
4/14/14,75.97,8677247,76.3,76.86,75.51
4/11/14,75.7,8399109,76.62,77.06,75.65
4/10/14,76.78,6201531,77.62,78.22,76.7
4/9/14,77.76,8027604,77.24,77.93,77.14
4/8/14,77.11,7370955,76.91,77.44,76.42
4/7/14,77.13,11121260,78.69,78.69,77.03
4/4/14,78.72,6422002,79.64,79.7,78.49
4/3/14,79.4,5505425,79.95,80.02,78.98
4/2/14,79.95,6611747,79.54,80.76,79.485
4/1/14,79.38,6697614,79.24,80.29,79.24
3/31/14,79.13,5736200,79.21,79.33,78.84
3/28/14,78.72,5132162,78.92,79.5,78.49
3/27/14,78.68,5787123,78.63,79.02,78.37
3/26/14,78.87,6364569,79.49,79.78,78.7
3/25/14,79.47,5364047,80.05,80.09,79.1599
3/24/14,79.66,7574236,80.41,80.46,79.2
3/21/14,80.42,10086150,80.78,81.9,80.25
3/20/14,80.09,5097830,79.71,80.24,79.47
3/19/14,79.75,6568371,79.97,80.485,79.4
3/18/14,79.82,5032166,79.65,80.56,79.62
3/17/14,79.58,5547629,79.57,80.185,79.25
3/14/14,79.38,6724041,78.82,79.88,78.79
3/13/14,78.8,7665827,81.06,81.06,78.72
3/12/14,80.56,7048729,80.73,80.85,80.24
3/11/14,81.29,4667867,81.69,81.8499,81.05
3/10/14,82.18,4138981,82.44,82.54,81.73
3/7/14,82.55,5287667,82.61,82.67,82.04
3/6/14,82.41,6168357,82.78,82.89,82.23
3/5/14,82.91,5069930,82.91,83.2,82.575
3/4/14,82.87,6367641,82.89,83.2,82.71
3/3/14,82,8359542,80.73,82.0299,80.62
2/28/14,82.03,7239631,81.89,83.1,81.39
2/27/14,81.97,6040850,81.66,82.2,80.61
2/26/14,81.7,9737766,80.99,82.71,80.79
2/25/14,80.98,13421680,79.68,81,79.33
2/24/14,77.87,11739470,77.84,78.25,77.46
2/21/14,77.74,7764529,77.36,78.04,77.36
2/20/14,77.48,5852170,76.59,77.56,76.54
2/19/14,76.45,7767813,77.25,77.52,76.4
2/18/14,77.57,4954668,77.92,78.08,77.07
2/14/14,77.93,4754256,77.75,78.13,77.32
2/13/14,77.59,6586929,77.34,77.8654,76.94
2/12/14,77.28,7345888,76.91,77.33,76.67
2/11/14,76.7,6292925,76.44,76.99,76.17
2/10/14,76.41,6343565,76.56,76.59,75.88
2/7/14,76.45,6223654,76.17,76.6,75.85
2/6/14,76.16,6107123,75.19,76.2,75.17
2/5/14,75.26,10080320,74.73,75.545,73.96
2/4/14,74.97,9573437,75.51,75.85,74.17
2/3/14,75.09,9527012,76.64,76.73,74.93
1/31/14,76.85,10592160,76.2,77.47,75.85
1/30/14,76.93,6820872,77.23,77.76,76.6499
1/29/14,76.68,9195317,78.28,78.75,76.63
1/28/14,78.54,10586490,78.42,78.93,77.821
1/27/14,78.94,6591201,78.86,79.17,78.52
